"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"56",81160036,"Movie","Saawan","Farhan Alam","Karam Hussain, Arif Bahlim, Najiba Faiz, Saleem Mairaj, Imran Aslam, Daniyal Yousuf, Sohail Malik, Ali Hafiz","Pakistan","September 4, 2019",2016,"TV-14","128 min","Dramas, Independent Movies, International Movies","Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story."
"57",81173255,"Movie","The Heretics","Chad Archibald","Nina Kiri, Ry Barrett, Jorja Cadence, Will King, Nina Richmond","Canada","September 4, 2019",2017,"TV-MA","88 min","Horror Movies","A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation."
"58",81078908,"Movie","The World We Make","Brian Baugh","Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams","United States","September 4, 2019",2019,"PG","108 min","Dramas, Romantic Movies","A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test."
"59",81155784,"Movie","Watchman","A. L. Vijay","G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun, Yogi Babu, Munishkanth","India","September 4, 2019",2019,"TV-14","93 min","Comedies, Dramas, International Movies","Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside."
"60",80201906,"Movie","Black Panther","Ryan Coogler","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee","United States","September 4, 2018",2018,"PG-13","135 min","Action & Adventure, Sci-Fi & Fantasy","T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new."
"62",80113641,"TV Show","Frequency","","Peyton List, Riley Smith, Mekhi Phifer, Devin Kelley, Lenny Jacobson, Daniel Bonjour, Anthony Ruivivar","United States","September 4, 2017",2016,"TV-14","1 Season","Crime TV Shows, TV Dramas, TV Mysteries","A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp."
"63",81054495,"Movie","Mo Gilligan: Momentum","Chris Howe","Mo Gilligan","United Kingdom","September 30, 2019",2019,"TV-MA","64 min","Stand-Up Comedy","Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club."
"64",80996949,"TV Show","Adam Ruins Everything","","Adam Conover, Adam Lustick, Emily Axford","United States","September 30, 2018",2018,"TV-14","1 Season","TV Comedies","Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways."
"65",80239337,"TV Show","Ben 10","","Tara Strong, Montse Hernandez, David Kaye, Roger Craig Smith, Todd Haberkorn, Dwight Schultz, Daryl Sabara","United States","September 30, 2018",2016,"TV-Y7","1 Season","Kids' TV","Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max."
"67",81011682,"TV Show","Christiane Amanpour: Sex & Love Around the World","","","United States","September 30, 2018",2018,"TV-MA","1 Season","Docuseries","A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports."
"68",80128317,"TV Show","The Eighties","","","United States","September 30, 2018",2016,"TV-PG","1 Season","Docuseries","This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today."
"69",81027384,"TV Show","The Nineties","","","United States","September 30, 2018",2017,"TV-14","1 Season","Docuseries","This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks."
"71",80116921,"TV Show","We Bare Bears","","Eric Edelstein, Demetri Martin, Bobby Moynihan","United States","September 30, 2018",2017,"TV-Y7","1 Season","Kids' TV, TV Comedies","Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world."
"72",80187061,"Movie","The Mayor","Park In-je","Min-sik Choi, Do-won Kwak, Eun-kyung Shim, So-ri Moon, Mi-ran Ra, Hye-young Ryu, Ki Hong Lee, Sun-gyu Jin, Joo-yeon Lee, Byeong-eun Park","South Korea","September 30, 2017",2017,"TV-MA","130 min","Dramas, International Movies","With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden."
"73",80181555,"TV Show","The Royal House of Windsor","","","United Kingdom","September 30, 2017",2017,"TV-14","1 Season","British TV Shows, Docuseries, International TV Shows","Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more."
"74",80081155,"Movie","Amanda Knox","Rod Blackhurst, Brian McGinn","","Denmark, United States","September 30, 2016",2016,"TV-MA","92 min","Documentaries","She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary."
"76",80198585,"Movie","The Debt Collector","Jesse V. Johnson","Scott Adkins, Louis Mandylor, Vladimir Kulich, Michael Paré, Rachel Brann, Selina Lo, Tony Todd","United Kingdom, United States","September 3, 2018",2018,"TV-MA","96 min","Action & Adventure","A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection."
"78",81011955,"Movie","Paradise Lost","Monique Gardenberg","Júlio Andrade, Lee Taylor, Hermila Guedes, Julia Konrad, Erasmo Carlos, Marjorie Estiano, Seu Jorge, Jaloo, Felipe Abib, Humberto Carrão, Malu Galli","Brazil","September 29, 2018",2018,"TV-MA","111 min","Dramas, Independent Movies, International Movies","A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there."
"79",80128722,"Movie","Gerald's Game","Mike Flanagan","Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken, Chiara Aurelia","United States","September 29, 2017",2017,"TV-MA","103 min","Horror Movies, Thrillers","When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice."
"80",80182115,"Movie","Long Shot","Jacob LaMendola","","United States","September 29, 2017",2017,"TV-14","40 min","Documentaries","When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary."
"82",80104068,"Movie","Our Souls at Night","Ritesh Batra","Robert Redford, Jane Fonda, Bruce Dern, Matthias Schoenaerts, Iain Armitage, Judy Greer, Phyllis Somerville","United States","September 29, 2017",2017,"TV-14","103 min","Dramas, Romantic Movies","After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom."
"83",80119349,"Movie","Out of Thin Air","Dylan Howitt","","","September 29, 2017",2017,"TV-14","85 min","Documentaries, International Movies","Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions can’t always be trusted."
"84",80199032,"TV Show","Paul Hollywood's Big Continental Road Trip","","Paul Hollywood","United Kingdom","September 29, 2017",2017,"TV-14","1 Season","British TV Shows, Docuseries, International TV Shows","Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany."
"87",81053893,"Movie","Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna","Mana Yasuda","","","September 28, 2019",2019,"TV-G","45 min","Documentaries, International Movies","An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute."
"88",80200087,"Movie","Domino","Brian De Palma","Nikolaj Coster-Waldau, Carice van Houten, Eriq Ebouaney, Guy Pearce, Mohammed Azaay, Søren Malling, Paprika Steen, Helena Kaittani","Denmark, France, Italy, Belgium, Netherlands","September 28, 2019",2019,"R","89 min","International Movies, Thrillers","A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage."
"89",81053892,"Movie","TUNA GIRL","Mana Yasuda","Fuka Koshiba, Tom Fujita, Hidetoshi Hoshida, Hiroto Kanai, Ryosuke Yusa, Shuri Tanaka, Chal Inoue, Takashi Taniguchi, Takeshi Masu","","September 28, 2019",2019,"TV-PG","90 min","Dramas, International Movies","A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy."
"91",81004470,"Movie","Animal World","Han Yan","Li Yi Feng, Zhou Dongyu, Michael Douglas, Bingkun Cao, Ge Wang, Keanu Chi, Zhang Jungyi, Yijuan Li, Su Ke","China","September 28, 2018",2018,"TV-MA","130 min","Action & Adventure, International Movies, Sci-Fi & Fantasy","An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host."
"92",80157072,"Movie","Hold the Dark","Jeremy Saulnier","Jeffrey Wright, Alexander Skarsgård, James Badge Dale, Riley Keough, Julian Black Antelope, Tantoo Cardinal, Macon Blair, Jonathan Whitesell, Peter McRobbie","United States","September 28, 2018",2018,"TV-MA","126 min","Action & Adventure, Dramas","In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery."
"93",81001809,"Movie","Lessons from a School Shooting: Notes from Dunblane","Kim A. Snyder","","United States","September 28, 2018",2018,"TV-PG","24 min","Documentaries","Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart."
"94",80201933,"TV Show","Made in Mexico","","","United States","September 28, 2018",2018,"TV-MA","1 Season","International TV Shows, Reality TV, Spanish-Language TV Shows","These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles."
"96",81016750,"Movie","The 3rd Eye","Rocky Soraya","Jessica Mila, Denny Sumargo, Citra Prima, Bianca Hello, Epy Kusnandar, Anita Hara, Derry Drajat, Voke Victoria, Shofia Shireen, Afdhal Yusman","Indonesia","September 28, 2018",2018,"TV-MA","108 min","Horror Movies, International Movies","When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home."
"98",80992039,"Movie","Two Catalonias","Álvaro Longoria, Gerardo Olivares","","Spain","September 28, 2018",2018,"TV-MA","117 min","Documentaries, International Movies","Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain."
"99",80126507,"Movie","Bobby Sands: 66 Days","Brendan Byrne","","Ireland, United Kingdom","September 28, 2017",2016,"TV-14","106 min","Documentaries","In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon."
"100",80225885,"TV Show","Bard of Blood","","Emraan Hashmi, Viineet Kumar, Sobhita Dhulipala, Jaideep Ahlawat, Kirti Kulhari, Sohum Shah, Rajit Kapoor, Danish Hussain","India","September 27, 2019",2019,"TV-MA","1 Season","International TV Shows, TV Action & Adventure, TV Dramas","Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission."
"101",81132443,"Movie","Deliha 2","Gupse Özay","Gupse Özay, Eda Ece, Aksel Bonfil, Derya Alabora, Esin Eden, Hülya Duyar, Ali Çelik, Mert Öner","Turkey","September 27, 2019",2018,"TV-PG","102 min","Comedies, International Movies","While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways."
"102",80218107,"TV Show","Dragons: Rescue Riders","","Nicolas Cantu, Brennley Brown, Zach Callison, Skai Jackson, Noah Kaye Bentley, Andre Robinson, Marsai Martin","","September 27, 2019",2019,"TV-Y","1 Season","Kids' TV, TV Comedies","Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way."
"103",80231903,"Movie","In the Shadow of the Moon","Jim Mickle","Boyd Holbrook, Michael C. Hall, Cleopatra Coleman, Bokeem Woodbine, Rudi Dharmalingam, Rachel Keller","United States","September 27, 2019",2019,"TV-MA","116 min","Dramas, Sci-Fi & Fantasy, Thrillers","A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation."
"104",80220715,"TV Show","Skylines","","Edin Hasanovic, Peri Baumeister, Murathan Muslu, Erdal Yıldız, Richy Müller, Anna Herrmann, Sahin Eryilmaz, Lisa Maria Potthoff, Carol Schuler, Dustin Jérôme Schanz, Nimo, Christopher Schärf, Slavko Popadic","","September 27, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business."
"105",81171121,"Movie","Sturgill Simpson Presents Sound & Fury","Jumpei Mizusaki, Koji Morimoto, Michael Arias, Masaru Matsumoto, Arthell Isom, Henry Thurlow, Takanobu Mizuno, Elsa Nakamichi, Hajime Sasaki, Shinji Takagi","","United States","September 27, 2019",2019,"TV-MA","42 min","Anime Features, Music & Musicals, Sci-Fi & Fantasy","In this anime visual album, a mysterious driver heads deep into a postapocalyptic hellscape toward a ferocious showdown with two monstrous opponents."
"106",80241248,"TV Show","The Politician","","Ben Platt, Gwyneth Paltrow, Jessica Lange, Zoey Deutch, Lucy Boynton, Bob Balaban, David Corenswet, Julia Schlaepfer, Laura Dreyfuss, Theo Germaine, Rahne Jones, Benjamin Barrett","United States","September 27, 2019",2019,"TV-14","1 Season","TV Comedies, TV Dramas, Teen TV Shows","Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school."
"107",81012295,"Movie","Weeds on Fire","Chi Fat Chan","Liu Kai Chi, Lam Yiu-sing, Tony Tsz-Tung Wu, Poon Chan-leung, Sun Li Man, Tam Sin Yin, Sham Ka Ki, Wang Simin, Jan Lamb","Hong Kong","September 27, 2018",2016,"TV-14","95 min","Dramas, Independent Movies, International Movies","In 1980s Hong Kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league."
"110",81177238,"Movie","Malaal","Mangesh Hadawale","Meezaan Jaffrey, Sharmin Segal, Chinmaya Surve, Anil Gawas, Sonal Jha, Sanjay Gurbaxani, Sameer Dharmadhikari, Deepak Damle","India","September 26, 2019",2019,"TV-14","133 min","International Movies, Romantic Movies","Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl."
"112",81025403,"TV Show","The Inmate","","Ignacio Serricchio, Ana Claudia Talancón, Flavio Medina, Luis Felipe Tovar, Mariana Seoane, Guy Ecker, Isabella Castillo, Bradley Stryker, Gustavo Sánchez Parra, Leonardo Ortizgris, Alejandro Calva, Rodrigo Oviedo, Ramón Medína, Erik Hayser, Tiaré Scanda","Mexico","September 26, 2019",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","A former Marine poses as an inmate inside a Mexican prison in order to infiltrate a gang suspected of kidnapping a U.S. judge's teen daughter."
"113",80215923,"Movie","The Hurricane Heist","Rob Cohen","Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson, Melissa Bolona, Ben Cross, Jamie Andrew Cutler","United States","September 26, 2018",2018,"PG-13","103 min","Action & Adventure","A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi."
"114",80151483,"Movie","Def Comedy Jam 25","Louis J. Horvitz","Dave Chappelle, Steve Harvey, Cedric the Entertainer, Martin Lawrence, Tiffany Haddish, Katt Williams, Craig Robinson, D.L. Hughley, Eddie Griffin, J.B. Smoove, Joe Torry, Kid Capri, Mike Epps, Sheryl Underwood, Tracy Morgan, Deon Cole","United States","September 26, 2017",2017,"TV-MA","82 min","Stand-Up Comedy","In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam."""
"115",80173625,"Movie","Restless Creature: Wendy Whelan","Linda Saffire, Adam Schlesinger","Peter Martins, Sean Suozzi, Gretchen Smith, Ashley Laracey, Tiler Peck, Damian Woetzel, Albert Evans, Sterling Hyltin, Craig Hall, Peter Boal, Karen Young, Michelle Rodriguez, Jock Soto, Adam Barrett","United States","September 26, 2017",2016,"TV-MA","94 min","Documentaries","After 30 years with the New York City Ballet, celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life."
"117",80244682,"Movie","Birders","Otilia Portillo Padua","","United States, Mexico","September 25, 2019",2019,"TV-G","38 min","Documentaries, International Movies","Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species."
"118",81075519,"Movie","Furie","Le Van Kiet","Ngo Thanh Van, Phan Thanh Nhien, Mai Cat Vi, Thanh Hoa, Pham Anh Khoa","Vietnam","September 25, 2019",2019,"TV-MA","97 min","Action & Adventure, Dramas, International Movies","When traffickers kidnap her daughter from their village, vengeful Hai Phuong returns to Saigon – and her outlaw roots – to take down the abductors."
"119",80166318,"Movie","Leap!","Eric Summer, Éric Warin","Bronwen Mantel, Mel Brooks, Maddie Ziegler, Dane DeHaan, Julie Khaner, Elle Fanning, Terrence Scammell, Tamir Kapelian, Carly Rae Jepsen","France, Canada","September 25, 2019",2016,"PG","89 min","Children & Family Movies, Comedies","Félicie and Victor, two young friends in 1880s France, escape from an orphanage to pursue their dreams in Paris, the glittering City of Lights."
"120",81186758,"Movie","Oh! Baby (Malayalam)","B. V. Nandini Reddy","Samantha Ruth Prabhu, Lakshmi, Rajendraprasad, Naga Shourya, Rao Ramesh, Teja Sajja, Pragathi, Jagapathi Babu, Aishwarya, Urvashi","India","September 25, 2019",2019,"TV-14","146 min","Comedies, International Movies, Music & Musicals","A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life."
"121",81186757,"Movie","Oh! Baby (Tamil)","B. V. Nandini Reddy","Samantha Ruth Prabhu, Lakshmi, Rajendraprasad, Naga Shourya, Rao Ramesh, Teja Sajja, Pragathi, Jagapathi Babu, Aishwarya, Urvashi","India","September 25, 2019",2019,"TV-14","146 min","Comedies, International Movies, Music & Musicals","A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life."
"122",80108976,"Movie","USS Indianapolis: Men of Courage","Mario Van Peebles","Nicolas Cage, Tom Sizemore, Thomas Jane, Matt Lanter, James Remar, Brian Presley, Johnny Wactor, Adam Scott Miller, Cody Walker, Callard Harris","United States","September 25, 2019",2016,"R","130 min","Action & Adventure","After becoming stranded in the Philippine Sea during World War II, a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks."
